FORD
tid attemp_tp tp 50lat 99lat
7 5035.1 462.876 1484.25 83363.7
30 1950.27 180.478 1461.32 83875.9
9 5024.74 465.643 1483.38 84048.8
27 1947.19 178.285 1442.47 83627.8
21 1946.5 180.207 1478.46 83781.6
26 1945.21 177.558 1537.67 84769.7
0 4884.63 456.469 970.701 89364.2
8 4872.64 453.496 1112.44 92255.1
10 4847.95 448.436 927.67 89756.1
2 4843.73 447.028 935.937 91443
4 4841.23 442.876 1225.1 90127.3
6 4836.33 450.214 926.125 94257.1
18 1918.17 175.743 1222.64 87382.3
14 4817.12 432.77 1036.7 88683.7
16 1916.1 170.993 1127.94 88166.7
12 4790.08 440.4 921.978 88797.9
20 1908.19 172.157 1134.82 86091.7
22 1893.34 172.445 1464.44 86452.3
24 1889.28 172.415 1569.88 84836.5
111236 10224.1 921.978 1569.88 1347.54 83184.1 94257.1 86166.4

FORD
tid attemp_tp tp 50lat 99lat
7 3899.4 1149.43 82.45 3096.46
5 3871.14 1159.17 82.026 3167.69
3 12339.7 3664.78 83.632 3196.47
1 11974.8 3610.28 83.465 3222.53
4 3180.27 1148.59 83.065 3256.51
6 3173.46 1140.19 84.059 3259.61
2 6367.8 2268.97 84.516 3303.66
0 5979.55 2182.89 86.867 3290.94
50786.1 16324.3 82.026 86.867 83.76 3096.46 3303.66 3224.23

FORD
tid attemp_tp tp 50lat 99lat
3 11820.3 3131.32 68.855 3514.85
13 3475.15 915.388 68.807 3574.19
5 11702.1 3144.47 69.251 3584.24
15 3470.67 925.662 68.214 3527.58
9 3461.41 935.481 67.256 3545.32
11 3452.33 920.287 68.789 3540.72
7 10957.1 2962.81 68.365 3587.86
1 10788.7 2926.42 67.69 3672.21
0 7946.58 2481.48 55.603 3632.56
6 7744.51 2460.28 53.807 3611.61
14 3014.46 799.435 81.178 3778.49
8 3007.23 878.383 55.902 3618.22
2 7640.15 2378.68 55.295 3755.98
10 2996.06 771.486 57.831 3686.05
4 7516.9 2382.48 55.27 3699.04
12 2974.3 771.505 65.085 3748.47
101968 28785.6 53.807 81.178 64.1999 3514.85 3778.49 3629.84

FORD
tid attemp_tp tp 50lat 99lat
1 6283.11 844.576 156.046 6493.39
29 2063.08 281.734 151.662 6400.45
7 6049.87 827.561 154.291 6410.07
5 6015.95 809.686 154.468 6438.84
31 2054.17 274.005 151.822 6472.57
28 2053.42 274.994 151.724 6539.44
3 5978.66 810.886 155.238 6476.23
23 2047.62 279.194 152.177 6632.77
9 5895.98 802.089 153.371 6526.8
15 5894.11 804.074 150.306 6531.61
11 5893.16 802.884 153.707 6429.25
13 5889.75 801.065 154.303 6652.94
19 2041.86 281.471 150.89 6429.07
26 2029.65 277.372 154.645 6570.68
17 2029.19 275.524 153.072 6643.64
27 2028.08 281.66 152.054 6536.53
21 2022.37 279.654 152.597 6523.52
25 2017.62 276.979 150.452 6513.51
30 2005.71 279.114 153.591 6590.53
24 1889.8 258.43 160.872 6896.28
0 4725.67 769.906 135.354 6448.46
2 4600.11 758.605 134.052 7390.01
8 4574.07 765.563 134.592 7291.07
4 4544.19 753.927 134.002 7290.42
22 1849.37 262.019 158.358 7257.94
10 4490.45 754.486 131.81 7440.5
18 1843.26 278.314 150.725 7078.57
6 4429.06 761.089 132.812 7752.2
14 4423.18 684.753 144.293 7853.66
20 1831.9 270.224 151.2 6739.44
16 1825.88 278.52 149.44 8121.98
12 4342.07 735.459 134.192 7860.78
115662 16895.8 131.81 160.872 148.691 6400.45 8121.98 6851.04

FORD
tid attemp_tp tp 50lat 99lat
45 977.35 126.098 283.819 16945.9
1 2746.27 361.52 280.256 17176.1
52 962.653 124.096 284.677 17317.5
35 962.368 123.501 287.582 17464
13 2712.67 353.868 285.972 17308.4
5 2710.9 355.562 286.54 17443.2
59 959.713 124.1 283.321 17245.4
43 958.827 123.641 286.615 17345.7
62 957.635 125.048 285.165 17173.8
23 2692.84 355.185 281.614 17143.3
15 2678.34 350.381 281.518 17032.7
48 954.797 124.802 283.745 17133
50 954.379 124.861 282.903 17048.7
19 2667.54 350.382 278.963 17256.5
47 953.844 126.499 279.766 17238.5
29 2664.03 350.586 286.041 17111.8
17 2660.96 344.461 282.728 17147.8
31 2660.13 339.858 287.364 17302
49 953.241 126.571 280.285 17102.8
55 951.92 125.968 284.704 17060.9
58 951.703 124.778 284.686 16950.7
37 950.972 123.645 287.967 17383.8
27 2641.08 347.144 283.456 17288
3 2641.02 348.773 281.446 17633
63 950.525 125.574 282.626 17015.8
39 949.416 124.402 282.859 17289.4
41 949.252 124.456 286.974 17494.7
51 949.174 126.591 278.842 17137.5
61 948.861 125.971 282.944 17183.9
11 2622.91 348.9 281.708 17302.1
53 947.96 124.808 279.701 17077.5
57 947.589 125.641 282.96 17146.5
60 946.973 124.328 282.605 17181.2
54 946.511 126.473 285.462 17151.3
56 946.488 125.135 284.916 17266.9
7 2605.06 349.13 280.881 17151.4
9 2604.86 353.245 277.656 17321.3
33 946.12 123.658 287.824 17513.4
25 2602.61 347.475 282.17 17329.8
21 2591.44 347.565 280.412 17231.4
0 2369.62 383.049 253.477 17002.2
4 2345.31 383.529 252.644 18435.7
2 2334.48 381.875 251.657 17863.3
36 907.845 126.989 276.54 17035.6
8 2328.71 387.009 250.657 18120.5
46 904.934 119.822 288.152 17054.9
6 2308.34 388.494 248.477 18154.1
24 2303.95 371.236 252.054 17990.8
34 903.066 131.405 272.544 17372.7
18 2301.62 388.605 248.549 18548.5
28 2301.07 350.43 262.668 17662.5
10 2294.49 389.49 246.044 18503.7
16 2291.09 387.859 244.404 18777
44 900.878 119.952 288.31 17090.9
14 2282.51 383.919 245.017 17988.9
38 899.968 131.215 275.162 16836.7
20 2281.13 383.709 248.606 18480.1
