FORD
tid attemp_tp tp 50lat 99lat
44 10616.2 6909.12 58.141 461.775
98 10615.2 6896.35 58.137 461.395
42 10614.5 6900.49 58.116 462.717
104 10615.8 6902.86 58.174 460.896
38 10614.8 6902.67 58.097 462.425
72 10614.2 6899.23 58.096 464.358
78 10613.7 6909.76 58.188 462.351
116 10614.1 6904.9 58.164 462.148
32 10614.2 6901.56 58.169 461.29
76 10613.6 6901.08 58.102 462.682
110 10614 6904.14 58.205 461.098
57 10611.9 6896.35 57.543 470.936
96 10612.5 6902.6 58.182 462.849
74 10613.3 6898.68 58.092 464.471
52 10611.4 6898.42 58.108 461.111
59 10609.4 6888.75 57.566 468.818
64 10609 6903.95 57.728 466.793
58 10608.2 6894.3 57.771 466.982
68 10607.7 6907.09 57.692 465.113
70 10607.6 6893.84 57.776 467.497
66 10607.1 6898.01 57.752 468.663
62 10602.7 6898.88 57.82 472.472
56 10602.7 6890.95 58.131 474.861
60 10600.7 6899.62 57.726 472.903
7 10392.5 6757.88 56.263 519.233
1 10339.7 6688.4 53.485 644.749
5 10311.5 6701.84 55.28 559.851
3 10286.8 6658.87 53.265 620.975
8 10189.6 6634.13 57.63 496.284
0 10078.8 6491.42 44.179 952.971
2 10040.1 6471.03 38.719 881.072
6 10034.1 6521.43 53.934 606.118
4 9997.37 6489.37 38.828 768.929
1.35712e+06 882289 38.719 58.225 57.394 455.549 952.971 475.583

FORD
tid attemp_tp tp 50lat 99lat
3 310808 214795 16.249 109.512
2 302114 208446 16.833 112.602
1 289232 199658 17.495 114.807
0 806129 561835 16.101 435.174
1.70828e+06 1.18473e+06 16.101 17.495 16.6695 109.512 435.174 193.024

FORD
tid attemp_tp tp 50lat 99lat
7 196327 133334 25.079 202.197
4 194824 132322 25.246 207.015
5 194114 131900 25.318 204.864
6 193441 131399 25.436 206.881
2 192945 130962 25.582 206.134
3 193010 131106 25.468 204.925
1 186485 126569 26.354 208.898
0 837342 575235 17.779 645.285
2.18849e+06 1.49283e+06 17.779 26.354 24.5328 202.197 645.285 260.775

FORD
tid attemp_tp tp 50lat 99lat
9 96646.1 64810.3 50.466 397.592
10 96162.6 64550.1 50.739 399.957
13 96151.2 64452.2 50.645 401.697
15 96143.5 64424.5 50.753 399.798
7 1.98627e+06 1.33267e+06 50.681 400.298
6 1.95609e+06 1.31178e+06 50.795 400.812
11 96047.4 64365.8 50.869 400.285
12 95832.2 64250 50.957 401.762
8 95783.2 64326.2 50.993 401.368
5 1.89212e+06 1.26972e+06 50.806 401.108
14 95777.9 64279.8 51.043 402.534
1 1.56958e+06 1.0533e+06 51.439 410.527
3 1.56186e+06 1.04806e+06 51.302 407.991
0 496322 331253 36.95 908.362
4 350055 235118 54.458 580.079
2 344816 232261 48.223 811.967
1.09257e+07 7.32962e+06 36.95 54.458 50.0699 397.592 908.362 470.384

FORD
tid attemp_tp tp 50lat 99lat
31 47659.1 31630.3 98.965 827.816
15 246702 163605 98.964 825.887
24 47630.5 31626.5 99.182 823.883
18 47608.8 31654.5 99.226 832.56
20 47612.8 31607.9 99.398 825.685
17 47608.6 31628.4 99.078 823.403
9 245593 163087 99.237 823.426
22 47599.4 31596.5 99.237 825.47
30 47591.4 31624.5 99.358 827.493
16 47588.4 31614 99.203 827.81
19 47588.4 31608.8 99.205 825.499
23 47584 31640.7 99.231 827.484
27 47570.1 31607.9 99.326 828.937
25 47571.6 31602.3 99.206 828.018
26 47561.2 31576.7 99.349 830.604
12 244375 162200 99.382 829.103
21 47573.2 31617.2 99.119 826.859
29 47563.3 31567.4 99.422 823.573
11 244159 161988 99.255 828.643
28 47542.3 31585.2 99.509 823.965
10 243722 161958 99.379 829.311
14 243597 161848 99.5 828.059
13 243513 161709 99.239 829.617
1 238611 158409 98.755 863.047
5 235724 156581 99.828 850.5
3 235645 156402 99.48 864.795
7 234311 155524 99.674 851.4
0 198571 130748 83.512 1426.86
2 186321 123094 78.975 1397.62
4 177185 117324 83.453 1374.83
6 165281 109472 92.775 1351.59
8 159834 106006 99.417 1051.85
4.30459e+06 2.85574e+06 78.975 99.828 97.4637 823.403 1426.86 907.987

FORD
tid attemp_tp tp 50lat 99lat
7 83582.7 57025.3 6.751 45.489
5 83003.8 56673.9 6.805 45.704
3 768078 524350 6.768 45.629
6 81085.3 55347.5 6.83 47.396
1 613227 418701 7.044 47.251
4 68408.1 46666.3 6.773 52.686
0 182056 123807 6.468 80.608
2 180497 123309 6.477 73.864
2.05994e+06 1.40588e+06 6.468 7.044 6.7395 45.489 80.608 54.8284

FORD
tid attemp_tp tp 50lat 99lat
13 71081.9 47779.7 8.311 57.792
11 71072.5 47745.2 8.331 57.786
15 71019.8 47702.9 8.329 57.88
8 70940.2 47747.1 8.335 58.236
7 753743 506571 8.355 58.21
9 70857.9 47621.5 8.297 58.283
10 70138.2 47171.5 8.385 59.21
12 70068 47089.7 8.369 59.268
14 69908.4 47004.2 8.428 59.292
3 590874 397137 8.398 59.818
5 584006 392746 8.399 59.792
1 538538 361973 8.504 60.77
6 292568 196486 8.307 65.014
0 178100 118649 7.24 126.3
4 159036 107035 7.641 92.43
2 157178 105615 7.328 100.85
3.81913e+06 2.56607e+06 7.24 8.504 8.18481 57.786 126.3 68.1832

FORD
tid attemp_tp tp 50lat 99lat
29 45730.5 30372.4 13.219 105.937
9 308990 205351 13.213 106.001
23 45703.1 30415 13.234 106.662
19 45693 30380.8 13.225 106.414
11 307546 204163 13.227 106.312
21 45655.1 30369.8 13.227 106.274
7 305584 203058 13.246 106.439
31 45643.4 30318.4 13.255 106.418
25 45643.6 30344.3 13.23 106.538
13 305463 203008 13.224 106.655
17 45570.5 30295.4 13.252 106.346
15 300442 199450 13.288 106.442
27 45436.2 30199.8 13.394 106.674
20 45156.1 29992.4 13.384 108.012
24 45144.5 30005.6 13.412 108.178
30 45119.3 29993 13.421 108.43
18 45118 30020.8 13.412 108.507
28 45105.1 29978.6 13.418 107.973
16 45089.4 29960.7 13.388 108.366
26 45066.1 29926.3 13.428 108.404
12 280815 186527 13.407 108.07
