FORD
tid attemp_tp tp 50lat 99lat
25 20392.4 20392 44.962 89.805
22 20326 20325.4 44.986 90.511
30 20325.6 20325 45.121 90.102
3 67322.8 67321.4 44.133 111.062
24 20290.7 20290.3 45.174 88.966
11 65723 65721.3 44.71 107.989
18 19325.4 19324.9 46.085 138.239
0 51265.1 51264 41.301 239.815
16 18483.4 18483.2 46.206 229.224
2 49854.6 49853.4 41.592 253.142
4 48854 48852.9 41.664 260.662
8 48637.4 48636.1 43.012 246.045
6 48319.3 48317.6 42.728 253.567
10 48273.9 48272.8 43.052 256.007
14 47704.6 47703.3 45.975 250.085
12 47255.9 47255.2 44.152 254.142
1.2733e+06 1.27327e+06 41.301 46.206 43.9599 88.146 260.662 140.354

FORD
tid attemp_tp tp 50lat 99lat
46 8251.04 8250.67 117.834 196.585
44 8209.15 8208.72 118.617 196.876
40 8166.94 8166.51 118.866 196.684
45 8163.13 8162.7 119.606 198.694
50 8075.77 8075.32 120.251 198.995
31 32395.8 32394.4 121.321 199.075
51 8000.67 8000.33 122.134 194.576
48 7991.68 7991.3 121.767 202.518
35 7962.84 7962.37 123.36 207.524
59 7945.12 7944.82 123.988 207.55
43 7938.14 7937.74 124.055 209.262
28 29873.3 29871.8 123.732 203.744
53 7871.58 7871.25 124.552 208.551
33 7870.8 7870.41 125.601 203.278
27 29194.2 29192.7 124.471 209.155
30 28985.1 28983.9 124.57 203.402
29 28780.5 28779.4 125.311 209.03
49 7811.73 7811.36 126.066 214.17
36 7808.94 7808.56 125.212 207.782
32 7805.88 7805.54 125.045 209.959
61 7804.9 7804.58 125.886 210.494
58 7800.67 7800.29 125.946 201.727
55 7794.67 7794.28 125.918 210.78
41 7789.38 7788.93 126.132 214.001
34 7782.21 7781.87 125.702 210.949
57 7779.67 7779.21 126.427 213.317
38 7776.03 7775.68 125.882 213.356
54 7768.9 7768.53 126.09 213.755
47 7762.48 7762.02 127.008 213.96
56 7755.2 7754.78 126.581 213.649
37 7754.96 7754.64 127.019 215.963
62 7752.07 7751.68 126.816 214.913
39 7752.08 7751.67 126.937 215.588
63 7748.51 7748.14 127.399 216.363
52 7732.61 7732.15 127.307 212.313
42 7731.11 7730.72 127.252 216.633
5 27511.6 27510.1 114.828 680.852
60 7718.14 7717.85 127.677 214.54
17 27199.6 27197.5 118.629 624.356
25 27185.1 27183.7 126.102 411.949
21 26853.3 26852 121.609 584.257
7 26558.6 26557 119.549 676.16
26 26443 26441.6 125.355 420.675
9 26206.1 26204.6 121.052 657.705
19 26099.9 26098.6 122.774 616.07
1 25959.3 25958.3 122.264 640.468
3 25850.9 25849.7 120.803 691.226
8 25826.5 25824.8 108.873 800.794
23 25723.6 25722.3 128.025 531.383
11 25708.5 25707.3 122.97 656.663
15 25666.6 25665.6 123.792 648.591
13 25276.8 25275.4 124.624 658.49
24 24860.9 24859.8 125.078 559.563
2 24592.9 24591.6 112.166 846.362
20 24285.8 24284.8 121.753 734.524
14 24224.1 24222.7 116.6 802.543
0 24126.8 24125.5 116.838 797.135
16 24100 24098.8 119.4 784.788
10 23859.1 23857.8 117.073 824.468
4 23821.5 23820 114.74 860.253
6 23658.9 23657.8 115.704 849.424
18 23472 23471 125.071 756.766
22 23362.8 23361.9 128.622 702.383
12 23357.7 23356.4 120.195 822.089
1.0829e+06 1.08284e+06 108.873 128.622 122.857 194.576 860.253 411.557

FORD
tid attemp_tp tp 50lat 99lat
110 3831.95 3831.56 257.547 469.112
58 14099.4 14098.1 257.218 564.062
70 3794.93 3794.58 257.854 601.15
59 14064.5 14063.1 258.044 563.098
36 14023.3 14022.1 259.94 458.104
42 13775.3 13774.1 261.234 461.567
71 3769 3768.69 259.999 607.914
69 3752.3 3751.96 261.208 607.624
120 3728.87 3728.49 265.363 422.423
78 3728.02 3727.66 264.179 473.362
64 3689.52 3689.18 266.136 544.828
105 3679.55 3679.22 269.02 478.782
123 3655.11 3654.74 269.927 478.902
68 3652.75 3652.34 268.038 610.605
7 12159.7 12158.5 257.109 900.142
46 12081.1 12079.9 272.004 469.087
63 12070.5 12069.3 272.372 567.669
48 12058.1 12056.7 272.523 472.544
61 11979.7 11978.4 271.132 609.838
35 11936.5 11935.3 273.658 472.585
84 3619.65 3619.29 274.602 433.591
32 11783.8 11782.4 271.175 651.901
57 11773.9 11772.9 273.015 608.009
44 11757.1 11756.1 274.682 472.436
102 3603.41 3603.05 274.974 480.012
106 3596.79 3596.45 276.422 480.158
66 3596.34 3596 272.905 612.422
40 11610.6 11609.6 276.134 469.325
79 3589.46 3589.06 275.809 441.474
49 11593.7 11592.7 275.834 447.486
98 3588.13 3587.75 277.77 484.121
86 3586.37 3585.99 276.594 483.902
50 11550.7 11549.7 276.396 470.297
126 3583.17 3582.8 278.119 483.333
33 11526.4 11525.4 276.337 492.323
67 3580.31 3579.97 276.648 536.519
41 11483.8 11482.8 277.105 467.932
25 11467.4 11466.2 267.032 825.058
43 11451.5 11450.5 278.149 474.629
88 3572.68 3572.3 277.496 487.939
81 3571.02 3570.69 277.326 486.924
94 3571.02 3570.69 277.955 485.406
53 11406.9 11405.9 279.562 477.026
47 11393.7 11392.6 280.405 476.567
77 3568.06 3567.71 278.077 489.242
97 3567.63 3567.3 277.416 489.047
101 3567.54 3567.15 278.565 490.953
19 11377.3 11376 264.361 933.029
109 3566.93 3566.59 279.448 482.385
56 11346.9 11346 277.803 584.322
103 3562.32 3562.02 279.17 490.129
89 3559.91 3559.63 280.077 490.097
55 11279.3 11278.1 279.161 473.367
118 3555.61 3555.28 280.327 483.44
112 3552.24 3551.94 280.611 482.738
93 3549.86 3549.53 282.382 489.841
115 3549.38 3549 282.315 481.409
73 3548.06 3547.74 280.627 448.745
125 3547.86 3547.52 283.054 486.507
60 11171.4 11170.4 279.872 612.939
39 11157.4 11156.4 282.65 471.224
51 11122.4 11121.2 281.284 479.24
95 3540.72 3540.39 282.214 494.214
114 3540.35 3539.95 281.348 489.779
52 11108.4 11107.3 283.263 472.177
108 3538.63 3538.35 283.996 488.552
15 11085.9 11084.8 268.042 964.097
38 11074.5 11073.4 283.736 486.368
116 3535.55 3535.22 284.702 486.659
117 3534.62 3534.24 284.868 485.018
107 3533.79 3533.4 285.326 486.576
82 3531.93 3531.64 282.214 487.345
3 10996.3 10995.1 270.475 883.7
99 3528.12 3527.81 283.748 492.868
65 3527.82 3527.46 284.055 611.904
122 3527.81 3527.48 285.245 483.18
80 3526.97 3526.66 283.815 483.069
127 3523.11 3522.74 283.713 485.718
54 10910.2 10909.1 286.901 475.031
27 10900.4 10899.3 277.393 819.809
83 3517.21 3516.89 286.989 490.674
85 3516.3 3515.95 289.42 492.075
111 3515.45 3515.1 289.469 483.294
72 3514.27 3513.95 287.06 476.505
74 3513.89 3513.54 289.065 482.715
5 10845.7 10844.7 274.177 932.195
124 3512.95 3512.61 288.633 480.422
87 3511.4 3511.03 292.739 491.182
29 10819.1 10818 278.129 807.328
11 10809.4 10808.4 275.334 899.497
113 3508.18 3507.85 288.173 480.158
90 3507.25 3506.89 290.437 456.336
45 10784.9 10783.8 291.219 482.036
104 3505.98 3505.61 292.148 453.297
100 3505.91 3505.61 290.752 486.677
31 10755.2 10754.2 283.866 719.246
92 3503.85 3503.5 289.758 488.838
37 10732 10730.9 291.818 477.061
121 3499.17 3498.87 293.293 482.035
119 3499.14 3498.8 291.79 483.76
1 10709.7 10708.5 282.998 844.804
17 10703.1 10702 274.404 968.186
96 3498.16 3497.8 295.167 486.202
9 10698.6 10697.3 276.985 883.198
13 10692.9 10691.8 280.134 951.248
34 10687.2 10686.1 287.725 498.289
76 3496.58 3496.26 295.78 486.569
91 3495.91 3495.52 294.002 490.804
75 3492.5 3492.2 295.025 487.719
62 10647.8 10646.8 296.413 600.456
6 10563.1 10562 255.365 1311.95
21 10550.5 10549.3 289.943 936.257
23 10524.5 10523.6 291.244 868.529
12 10451.4 10450.5 262.55 1329.14
14 10418.1 10416.9 262.061 1348.79
0 10413.3 10412.3 263.949 1269.59
28 10412.9 10411.9 278.783 1109.47
10 10359.4 10358.3 266.807 1306.59
30 10344.3 10343.3 285.582 1055.63
8 10332.8 10331.6 270.175 1290.36
2 10312.4 10311.4 271.291 1295.14
24 10270.2 10269.3 285.806 1218.37
16 10256.1 10255.1 275.843 1361.58
4 10255.7 10254.6 272.668 1336.38
20 10244.6 10243.7 281.574 1319.8
22 10232.7 10231.7 286.929 1266.16
26 10220.9 10220 293.244 1193.08
18 10200.7 10199.5 280.137 1348.15
944366 944274 255.365 296.413 278.329 422.423 1361.58 643.787

FORD
tid attemp_tp tp 50lat 99lat
3 326192 326183 81.153 134.236
1 295420 295412 82.912 141.417
0 144432 144427 85.234 604.173
2 141736 141730 88.858 596.754
907779 907753 81.153 88.858 84.5392 134.236 604.173 369.145

FORD
tid attemp_tp tp 50lat 99lat
7 287804 287790 95.475 155.68
